,contetnt,date,place,tags
0,"['주말엔', '놀이터지', '덕수공원반려견놀이터', '반려견놀이터', '덕수공원', '주말엔놀이터로', '다음엔다른곳으로', '멍스타그램', '멍팔해요', '댕댕이']",2022-10-30,,"['덕수공원반려견놀이터', '반려견놀이터', '덕수공원', '주말엔놀이터로', '다음엔다른곳으로', '멍스타그램', '멍팔해요', '댕댕이']"
1,"['오늘', '놀이터에서', '바다와', '사랑이', '투샷', '절대', '카메라는', '봐주지않고', '바다', '사랑', '토리', '쓰리샷', '마지막은', '옹기종기', '인스타', '멍뭉이칭구', '처음', '만나서', '신기하고', '반가웠어요', 'bada', 'bada', '반려견놀이터', '덕수공원', '멍뭉칭구들이랑', '신나게뛰뛰뛰', '멍스타그램', '멍멍이일상', '멍팔해요', '멍팔환영', '옹기종기']",2022-10-23,,"['반려견놀이터', '덕수공원', '멍뭉칭구들이랑', '신나게뛰뛰뛰', '멍스타그램', '멍멍이일상', '멍팔해요', '멍팔환영', '옹기종기']"
2,"['후추어멈', '여기', '지짜', '너무', '조타', '오로지', '우리만', '자유롭게', '놀', '수있는', '곳', '반상회', '하는', '아즘마', '셋과데면데면', '댕댕이', '둘과열혈포토그래풔', '한', '분', '너와나', '경남양산', 'p', 'p', 'p', 'yangsan', '반려견놀이터', '프라이빗피크닉', '오리가부러웠던날', '너무좋아하네', '또오자여기']",2022-10-31,동면 (양산시),"['후추어멈', '너와나', '경남양산', '반려견놀이터', '프라이빗피크닉', '오리가부러웠던날', '너무좋아하네', '또오자여기']"
3,"['카페흐노니입니다', '오늘도', '정상영업합니다', '날이', '너무', '좋아요', '월부터는', '주', '회', '수요일', '목요일', '쉬어갈께요', '평일오픈시간', '시', '마감', '시주말오픈시간', '시', '마감', '시', '월말까지', '변경됩니다', '휴무인', '수요일', '목요일', '비어있는', '시간이', '너무', '아까워', '흐노니', '전체공간대여합니다', '혹시나', '흐노니에서', '우리들끼리만', '친구들과', '뛰어놀고', '싶은', '반려견가족분들은', '연락주세요', '시간', '만원', '시간', '만원인원이랑', '견수는', '흐노니가', '복잡하지', '않은', '선에서는', '추가비없이', '받을', '예정입니다', '월', '일부터예약받아요', '카페실내', '외', '잔디마당', '잔디운동장', '옥상', '포함', '전체공간', '이용가능합니다', '포장음식가능하며', '더', '자세한', '내용은', '디엠이나', '전화주세요', '흐노니에서', '마음껏', '우리들끼리만', '놀고', '싶은', '반려견가족분들', '연락주세요', '수요일목요일만프라이빗공간으로변합니다', '우리끼리놀자친구들아모여라', '애견운동장대관', '애견운동장대여', '카페흐노니대관', '카페흐노니', '흐노니카페', '강화도카페', '흐노니', '야외테라스', '루프탑', '루프탑카페', '옥상', '잔디', '반려견동반가능', '반려견운동장', '반려견잔디운동장', '반려견놀이터', '애견놀이터', '애견운동장', '애견동반카페', '반려견동반카페', '강화도애견카페', '김포애견카페', '인천애견카페', '강화도']",2022-10-31,흐노니,"['수요일목요일만프라이빗공간으로변합니다', '우리끼리놀자친구들아모여라', '애견운동장대관', '애견운동장대여', '카페흐노니대관', '카페흐노니', '흐노니카페', '강화도카페', '흐노니', '야외테라스', '루프탑', '루프탑카페', '옥상', '잔디', '반려견동반가능', '반려견운동장', '반려견잔디운동장', '반려견놀이터', '애견놀이터', '애견운동장', '애견동반카페', '반려견동반카페', '강화도애견카페', '김포애견카페', '인천애견카페', '강화도']"
4,"['개인사정으로', '까지', '임시', '휴무를', '갖게', '되었습니다', '방문에', '불편을', '드려', '죄송해요', '다음주에', '만나요']",2022-10-31,개들의정원,[]
5,"['두부와', '연두의', '온도차', '두부소금쟁이설', '오도방구연두']",2019-08-18,,"['두부소금쟁이설', '오도방구연두']"
6,"['반려견', '동반장소', '펫온이', '소개시켜드려요', '이번주', '수원', '마이펫페어', '끝나고', '그냥', '집에', '가기', '아쉽다면', '수원컨벤션센터', '주변', '애견동반', '장소에', '방문해', '보세요', '봉주르하와이', '경기', '수원시', '영통구', '광교호수공원로', '앨리웨이상가', '앨리키즈동', '층', '목', '월', '라스트오더', '화', '수', '라스트오더', '주차가능', '대형견가능', '목줄착용', '실내실외', '목줄', '및', '이동가방', '사용', '기본적인', '펫티켓을', '지켜주세요', '플라밍고', '경기', '수원시', '영통구', '법조로', '번길', '층', '수', '토', '화', '브레이크타임', '없음', '일', '브레이크타임', '매주', '월요일', '휴무', '주차가능', '대형견가능', '목줄착용', '실내동반', '목줄', '및', '이동가방', '이용', '심하게', '짖거나', '예민한', '반려견은', '동반', '불가', '기본적인', '펫티켓을', '지켜주세요', 'ppk키친', '경기', '수원시', '팔달구', '인계로', '번길', '신일빌딩', '층', '매일', '브레이크타임', '주말', '제외', '매주', '월요일', '휴무', '주차가능', '대형견가능', '목줄착용', '실내실외', '목줄', '및', '이동가방', '이용', '짖음이', '있는', '반려견은', '야외석', '이용', '두들리도넛', '경기', '수원시', '영통구', '센트럴파크로', '번길', '층', '매일', '주차가능', '대형견가능', '목줄착용', '실내동반', '목줄', '및', '이동가방', '사용', '기본적인', '펫티켓을', '지켜주세요', '피켈', '경기', '수원시', '영통구', '법조로', '번길', '층', '화', '목', '일', '금', '토', '매주', '월요일', '휴무', '주차가능', '대형견가능', '목줄착용', '실내실외', '목줄', '및', '이동가방', '사용', '마킹이나', '배변', '가능성', '있는', '반려견은', '매너벨트', '착용', '기본적인', '펫티켓을', '지켜주세요', '아이러브퍼피', '경기', '수원시', '영통구', '웰빙타운로', '번길', 'F', '아이러브퍼피', '화', '일', '매주', '월요일', '휴무', '주차가능', '소형견', 'kg', '까지', '목줄자유', '실내실외', '층', '루프탑에', '운동장이', '있어요', '반려견', '전용', '메뉴가', '준비되어', '있어요', '반려견', '입장료', '원', '마킹하는', '반려견은', '매너벨트', '착용', '광교호수공원반려동물놀이터', '경기', '수원시', '영통구', '하동', '화', '일', '매주', '월요일', '휴무', '주차가능', '대형견가능', '목줄착용', '무료입장', '소형견과', '중대형견', '운동장이', '분리되어', '있어요', '동물등록', '예방접종', '필수', '기본적인', '펫티켓을', '지켜주세요', '직접', '확인된', '정보이니', '믿고', '방문해보세', '수정', '및', '변경사항이', '있다면', 'dm주세요']",2022-10-20,,"['봉주르하와이', '경기', '플라밍고', '경기', 'ppk키친', '경기', '두들리도넛', '경기', '피켈', '경기', '아이러브퍼피', '경기', '광교호수공원반려동물놀이터', '경기']"
7,"['꼬까옷', '입고', '놀이터', '가서', '뛰뛰', 'bennys', 'originals', '베니즈', '협찬']",2021-04-20,송도달빛축제공원,"['베니즈', '협찬']"
8,"['벌써', '월의', '마지막', '날이네요', '시간이', '왜이리', '빠르게', '흘러가는지', '월의', '마지막', '그리고', '다가올', '월에도두리멍쉴에서는', '견주님과', '반려견', '친구들을기다리고', '있답니다', '두리멍쉴', '애견카페', '애견놀이터', '의정부애견카페', '경기도애견카페', '포천애견카페', '별내애견카페', '동두천애견카페', '남양주애견카페', '서울근교애견카페', '애견동반카페', '애견운동장', '강아지운동장', '반려견놀이터', '소형견', '중형견', '대형견', '애견카페추천', '대형견가능카페', '의정부애견카페추천', '떡볶이맛집', '불멍', '불멍카페']",2022-10-31,두리멍쉴,"['두리멍쉴', '애견카페', '애견놀이터', '의정부애견카페', '경기도애견카페', '포천애견카페', '별내애견카페', '동두천애견카페', '남양주애견카페', '서울근교애견카페', '애견동반카페', '애견운동장', '강아지운동장', '반려견놀이터', '소형견', '중형견', '대형견', '애견카페추천', '대형견가능카페', '의정부애견카페추천', '떡볶이맛집', '불멍', '불멍카페']"
9,"['OFF', 'LEASH', 'BBQ', 'SERVICE', '가족들과', '친구들', '그리고', '댕댕이와', '함께프라이빗존에서', '오붓하게', '바베큐', '파티를', '즐겨보아요', '이용방법', '프라이빗존', '예약', '시', '이용', '가능', '예약', '페이지', '하단', '바베큐', '사용', '여부', '체크', '야외', '시설인', '관계로', '우천', '시', '이용', '불가', '제공', '항목', '인', '기준', 'BBQ', '그릴', '시설', '일체', '식기류', '가위', '집게', '등', '식재료', '및', '추가', '식기류', '셀프', '준비프라이빗한', '공간에서', '댕댕이와', '함께바베큐', '파티를', '즐기며', '소중한', '추억을', '만들어', '보는', '건', '어떨까요', '댕댕이와', '바베큐는', '사랑입니다', '답답한', '입마개와', '목줄은', '벗어두고', '오늘', '하루', '신나개', 'OFF', 'LEASH', '하세요']",2022-11-01,오프리쉬 독파크,[]
