title,link,date,word
"경기 구리시, ""불법 개농장에서 구조된 32마리 반려견 새 삶""",https://www.ajunews.com/view/20220427150759431,2022.04.27.,"['경기', '구리시', '불법', '개농장에서', '구조된', '마리', '반려견', '새', '삶']"
‘펫팸(Pet+Family)’ 명소로 부상한 구리 장자호수생태공원 ‘반려견 놀이터...,http://news.heraldcorp.com/view.php?ud=20210407000422,2021.04.07.,"['펫팸', 'Pet', 'Family', '명소로', '부상한', '구리', '장자호수생태공원', '반려견', '놀이터']"
구리 장자호수공원 반려견놀이터 인기…하루 130명 방문,http://www.edaily.co.kr/news/newspath.asp?newsid=02112326629012184,2021.04.02.,"['구리', '장자호수공원', '반려견놀이터', '인기', '하루', '명', '방문']"
구리 장자호수공원 내 '반려견 놀이터' 조성,http://www.incheonilbo.com/news/articleView.html?idxno=923072,2019.01.10.,"['구리', '장자호수공원', '내', '반려견', '놀이터', '조성']"
"구리시, 장자호수공원 내 첫 '반려견 놀이터' 조성",http://www.obsnews.co.kr/news/articleView.html?idxno=1120389,2018.10.16.,"['구리시', '장자호수공원', '내', '첫', '반려견', '놀이터', '조성']"
구리시 반려동물 놀이터 하루평균 반려동물 200마리 이용,http://www.kyeonggi.com/news/articleView.html?idxno=2356686,2021.04.06.,"['구리시', '반려동물', '놀이터', '하루평균', '반려동물', '마리', '이용']"
"구리시, 유기견 보호·입양위한 ‘반려동물 문화센터·반려동물 놀이터’ 운영...",http://www.munhwa.com/news/view.html?no=20220411MW093711641182,2022.04.11.,"['구리시', '유기견', '보호', '입양위한', '반려동물', '문화센터', '반려동물', '놀이터', '운영']"
"""경기정원문화박람회, 와구리""…구리 장자호수생태공원서 24일까지 온라인 개...",http://www.ajunews.com/view/20211018154813467,2021.10.19.,"['경기정원문화박람회', '와구리', '구리', '장자호수생태공원서', '일까지', '온라인', '개']"
"‘2021경기정원문화 박람회’, 구리 장자호수공원에서 10월 24일까지 개최",http://news.heraldcorp.com/view.php?ud=20211015000811,2021.10.15.,"['경기정원문화', '박람회', '구리', '장자호수공원에서', '월', '일까지', '개최']"
구리 장자호수공원 ‘반려동물 놀이터’ 인기↑,http://www.fnnews.com/news/202104040758097255,2021.04.04.,"['구리', '장자호수공원', '반려동물', '놀이터', '인기']"
"유기동물 입양 활성화 나선 구리시, '반려동물 문화센터' 개소",http://www.joongboo.com/news/articleView.html?idxno=363533192,2022.03.30.,"['유기동물', '입양', '활성화', '나선', '구리시', '반려동물', '문화센터', '개소']"
"구리시, 반려동물 문화센터 개소",http://www.womennews.co.kr/news/articleView.html?idxno=221693,2022.04.01.,"['구리시', '반려동물', '문화센터', '개소']"
안승남 구리시장 반려견 친화도시 구현 앞장,http://www.kyeonggi.com/news/articleView.html?idxno=2386010,2021.10.25.,"['안승남', '구리시장', '반려견', '친화도시', '구현', '앞장']"
"안승남 구리시장, 여성‧반려견과 함께 '삼삼한 구리 톡' 열어",http://www.weeklytoday.com/news/articleView.html?idxno=416527,2021.10.24.,"['안승남', '구리시장', '여성', '반려견과', '함께', '삼삼한', '구리', '톡', '열어']"
"대한민국 출생률 OECD 최하위… 구리시, 저출산율 극복 '총력'",https://www.asiatime.co.kr/article/20211117500219,2021.11.17.,"['대한민국', '출생률', 'OECD', '최하위', '구리시', '저출산율', '극복', '총력']"
"안승남 구리시장, '민선7기 취임 3주년 인사말'",http://www.gukjenews.com/news/articleView.html?idxno=2258167,2021.07.02.,"['안승남', '구리시장', '민선', '기', '취임', '주년', '인사말']"
"안승남 구리시장, 시민 건의사항 추진상황 점검 ‘촘촘하게 업무’ 챙겨",http://www.ifm.kr/news/299806,2021.01.28.,"['안승남', '구리시장', '시민', '건의사항', '추진상황', '점검', '촘촘하게', '업무', '챙겨']"
"안승남 구리시장, 시민 건의사항 추진상황 점검 ‘촘촘하게 업무’ 챙겨",http://www.breaknews.com/782614,2021.01.27.,"['안승남', '구리시장', '시민', '건의사항', '추진상황', '점검', '촘촘하게', '업무', '챙겨']"
"구리시의 실험 반려동물 놀이터, 두 마리 토끼 잡았다",https://hankookilbo.com/News/Read/A2021042616260003307?did=NA,,"['구리시의', '실험', '반려동물', '놀이터', '두', '마리', '토끼', '잡았다']"
"구리시 ""세계적 도시공원 '구리 센트럴파크' 만들겠다""…'뉴욕 센트럴파크'처...",http://moneys.mt.co.kr/news/mwView.php?no=2021061613088014953,2021.04.26.,"['구리시', '세계적', '도시공원', '구리', '센트럴파크', '만들겠다', '뉴욕', '센트럴파크', '처']"
"경기도, 미래신성장 '반려동물산업' 키운다",http://www.incheonilbo.com/news/articleView.html?idxno=935097,2019.03.12.,"['경기도', '미래신성장', '반려동물산업', '키운다']"
[오늘의 경기 뉴스] 2019년 1월 10일(목),http://www.incheonilbo.com/news/articleView.html?idxno=923247,2019.01.10.,"['오늘의', '경기', '뉴스', '년', '월', '일', '목']"
"경기 구리시, '뉴노멀' 확대…정원도시 조성 '박차'",https://www.ajunews.com/view/20220504153908676,2022.05.04.,"['경기', '구리시', '뉴노멀', '확대', '정원도시', '조성', '박차']"
구리시 “개농장 관리감독 강화…동물복지 향상”,http://www.fnnews.com/news/202201060623315196,2022.01.06.,"['구리시', '개농장', '관리감독', '강화', '동물복지', '향상']"
"경기 구리시, 불법 개 농장 ""발붙이지 못하게 하겠다""",https://www.ajunews.com/view/20220105112600249,2022.01.05.,"['경기', '구리시', '불법', '개', '농장', '발붙이지', '못하게', '하겠다']"
"경기 구리시, 불법 개농장 '유감'…""관리 감독 철저히 하겠다""",https://www.ajunews.com/view/20211229144546149,2021.12.29.,"['경기', '구리시', '불법', '개농장', '유감', '관리', '감독', '철저히', '하겠다']"
가을이 좋다! 반가운 와 구리!… 2021경기정원문화박람회,http://www.kyeonggi.com/news/articleView.html?idxno=2384956,2021.10.18.,"['가을이', '좋다', '반가운', '와', '구리', '경기정원문화박람회']"
"구리시, '삼삼한 구리 톡' 여성 편 개최",https://www.cnbnews.com/news/article.html?no=515425,2021.10.25.,"['구리시', '삼삼한', '구리', '톡', '여성', '편', '개최']"
