title,link,date,word
"전북, 반려동물 놀이터 잇따라 조성",http://www.segye.com/content/html/2022/11/01/20221101513938.html?OutUrl=naver,,"['전북', '반려동물', '놀이터', '잇따라', '조성']"
광산구 수랑공원에 광주 첫 반려견 놀이터…내년 상반기 착공,http://www.newsis.com/view/?id=NISX20221027_0002064215&cID=10201&pID=10200,,"['광산구', '수랑공원에', '광주', '첫', '반려견', '놀이터', '내년', '상반기', '착공']"
광주에 지역 첫 반려견 놀이터 생긴다,http://www.namdonews.com/news/articleView.html?idxno=701001,,"['광주에', '지역', '첫', '반려견', '놀이터', '생긴다']"
광주에 첫 반려견 놀이터 생긴다,https://www.olchiolchi.com/%ea%b4%91%ec%a3%bc%ec%97%90-%ec%b2%ab-%eb%b0%98%eb%a0%a4%ea%b2%ac-%eb%86%80%ec%9d%b4%ed%84%b0-%ec%83%9d%ea%b8%b4%eb%8b%a4/,,"['광주에', '첫', '반려견', '놀이터', '생긴다']"
혼자 버스타고 놀이터 가던 美 시애틀 명견 하늘나라로,https://www.yna.co.kr/view/AKR20221020025600009?input=1195m,,"['혼자', '버스타고', '놀이터', '가던', '시애틀', '명견', '하늘나라로']"
'반려견 에티켓부터 건강검진까지'…의정부 반려동물 한마당 개최,http://www.newspim.com/news/view/20221031000671,2022.10.20.,"['반려견', '에티켓부터', '건강검진까지', '의정부', '반려동물', '한마당', '개최']"
"광진, 반려견과 신나는 ‘멍토피아 운동회’",https://www.seoul.co.kr/news/newsView.php?id=20221025012020&wlog_tag3=naver,,"['광진', '반려견과', '신나는', '멍토피아', '운동회']"
"이천시 덕평휴게소, 목줄 미착용 반려견 활보 '눈살'",http://www.enewstoday.co.kr/news/articleView.html?idxno=1609646,,"['이천시', '덕평휴게소', '목줄', '미착용', '반려견', '활보', '눈살']"
"반려견 특화 숙박시설 '이안즈펫', 2차 분양시작",http://www.incheonilbo.com/news/articleView.html?idxno=1167071,2022.10.25.,"['반려견', '특화', '숙박시설', '이안즈펫', '차', '분양시작']"
주민 호응 큰 미추홀구 ‘반려동물 놀이터’…겨울엔 꽁꽁 문 닫아,https://www.kgnews.co.kr/news/article.html?no=723465,2022.10.27.,"['주민', '호응', '큰', '미추홀구', '반려동물', '놀이터', '겨울엔', '꽁꽁', '문', '닫아']"
"이안즈펫, 반려견 특화 숙박시설 애견리조트 2차 분양",http://www.sisa-news.com/news/article.html?no=216985,2022.10.24.,"['이안즈펫', '반려견', '특화', '숙박시설', '애견리조트', '차', '분양']"
"힐리언스 선마을, 반려견 행동전문가와 함께하는 '반려견 힐링캠프' 상품 출시",https://www.ajunews.com/view/20221020153039738,2022.10.20.,"['힐리언스', '선마을', '반려견', '행동전문가와', '함께하는', '반려견', '힐링캠프', '상품', '출시']"
"도봉구, 전문 변호사와 반려견 문화교실 운영",http://news.heraldcorp.com/view.php?ud=20221017000054,2022.10.17.,"['도봉구', '전문', '변호사와', '반려견', '문화교실', '운영']"
반려견 놀이터 대신 '애견인 쉼터'...펫티켓이 관건,https://www.cjb.co.kr/home/sub.php?menukey=61&mod=view&P_NO=221006062&PRO_CODE=4,2022.10.10.,"['반려견', '놀이터', '대신', '애견인', '쉼터', '펫티켓이', '관건']"
“마스크도 안 쓰는데 반려견과 갈 만한 곳 없나?”,https://weekly.donga.com/3/all/11/3683437/1,2022.10.07.,"['마스크도', '안', '쓰는데', '반려견과', '갈', '만한', '곳', '없나']"
2022 튼튼 펫 페스타 개막… “반려견은 뛰어놀고 견주는 경품 받고”,https://weekly.donga.com/3/all/11/3684091/1,2022.10.08.,"['튼튼', '펫', '페스타', '개막', '반려견은', '뛰어놀고', '견주는', '경품', '받고']"
반려견 행동교정 ‘부산시 반려동물 문화교실’ 수강생 모집,http://www.fnnews.com/news/202210191155336966,2022.10.19.,"['반려견', '행동교정', '부산시', '반려동물', '문화교실', '수강생', '모집']"
"강남구, ‘반려견 순회 놀이터’ 운영",https://www.siminilbo.co.kr/news/newsview.php?ncode=1160284388797183,2022.10.05.,"['강남구', '반려견', '순회', '놀이터', '운영']"
도시공원 내 반려견 놀이터 설치 필요,http://www.daejonilbo.com/news/articleView.html?idxno=2027877,,"['도시공원', '내', '반려견', '놀이터', '설치', '필요']"
"복잡한 반려견 예방접종, 이렇게 하세요 [개st상식]",https://news.kmib.co.kr/article/view.asp?arcid=0017561198&code=61171811&cp=nv,2022.10.12.,"['복잡한', '반려견', '예방접종', '이렇게', '하세요', '개st상식']"
"순천시, 국가정원 내에 '반려견 놀이터' 조성 추진",https://ysmbc.co.kr/article/Q_7YkFhEotxOpRHZWq,2022.10.04.,"['순천시', '국가정원', '내에', '반려견', '놀이터', '조성', '추진']"
몽몽이와 함께 가을 나들이 떠나볼까? 전국 반려동물 여행 명소 5,http://woman.chosun.com/news/articleView.html?idxno=103971,,"['몽몽이와', '함께', '가을', '나들이', '떠나볼까', '전국', '반려동물', '여행', '명소']"
"""반려견과 넓은 운동장에서 신나게 뛰어 놀자""",http://www.ujeil.com/news/articleView.html?idxno=313684,2022.10.06.,"['반려견과', '넓은', '운동장에서', '신나게', '뛰어', '놀자']"
"""반려동물 교육·놀이·유기동물 센터가 한 곳에"" 해운대구, 반려동물 놀이터...",https://www.busan.com/view/busan/view.php?code=2022101115134172179,2022.10.11.,"['반려동물', '교육', '놀이', '유기동물', '센터가', '한', '곳에', '해운대구', '반려동물', '놀이터']"
"한국어질리티연합, 고프로코리아 주최하는 고프로 포레스트리그 반려견 부문 ...",http://www.sisunnews.co.kr/news/articleView.html?idxno=171225,2022.10.05.,"['한국어질리티연합', '고프로코리아', '주최하는', '고프로', '포레스트리그', '반려견', '부문']"
"부산시, 반려견 예절교육 문제행동 교정 '2022 부산시 반려동물 문화교실' 운...",https://www.lecturernews.com/news/articleView.html?idxno=109725,2022.10.20.,"['부산시', '반려견', '예절교육', '문제행동', '교정', '부산시', '반려동물', '문화교실', '운']"
"강남구, 반려견 순회 놀이터 운영!",https://www.gukjenews.com/news/articleView.html?idxno=2563877,2022.10.04.,"['강남구', '반려견', '순회', '놀이터', '운영']"
"""맘껏 뛰어놀아요""…강남구 반려견 순회 놀이터 운영",http://www.newsis.com/view/?id=NISX20221003_0002035102&cID=10801&pID=14000,2022.10.03.,"['맘껏', '뛰어놀아요', '강남구', '반려견', '순회', '놀이터', '운영']"
"""동물복지 인프라 구축""…강동구, '반려견 놀이터' 만든다",http://www.newsis.com/view/?id=NISX20220928_0002030323&cID=10201&pID=10200,2022.09.28.,"['동물복지', '인프라', '구축', '강동구', '반려견', '놀이터', '만든다']"
"반려견 놀이터 '혐오시설' 논란…""공존 방법 찾아야""",http://www.yonhapnewstv.co.kr/MYH20220925001300641/?input=1825m,2022.09.25.,"['반려견', '놀이터', '혐오시설', '논란', '공존', '방법', '찾아야']"
강북구 북서울꿈의숲 '반려견 놀이터' 오픈 [뉴시스Pic],http://www.newsis.com/view/?id=NISX20220921_0002021133&cID=10201&pID=10200,2022.09.21.,"['강북구', '북서울꿈의숲', '반려견', '놀이터', '오픈', '뉴시스Pic']"
강북구 북서울꿈의숲 반려견 놀이터 개장,https://view.asiae.co.kr/article/2022092006540620240,2022.09.20.,"['강북구', '북서울꿈의숲', '반려견', '놀이터', '개장']"
[반려동물 건강이야기] 반려견 놀이터 이용수칙 6,http://www.k-health.com/news/articleView.html?idxno=61179,2022.09.18.,"['반려동물', '건강이야기', '반려견', '놀이터', '이용수칙']"
"위너 이승훈, 반려견 '오뜨'와 놀이터 데이트..""행복뜨""",http://www.notepet.co.kr/news/article/article_view/?idx=26817&groupCode=AB800AD810,2022.10.04.,"['위너', '이승훈', '반려견', '오뜨', '와', '놀이터', '데이트', '행복뜨']"
"[마이펫페어] 펫피투개더, 반려견 산책 커플룩에 새로운 도전",https://www.etnews.com/20221007000015,2022.10.07.,"['마이펫페어', '펫피투개더', '반려견', '산책', '커플룩에', '새로운', '도전']"
"하남 미사지구 '반려견놀이터' 예산, 시의회가 전액삭감",http://www.newsis.com/view/?id=NISX20220912_0002009757&cID=10804&pID=14000,2022.09.12.,"['하남', '미사지구', '반려견놀이터', '예산', '시의회가', '전액삭감']"
"태백 반려견 놀이터, 보름간 327마리 찾아…‘절반의 성공’",https://www.pressian.com/pages/articles/2022083015313524977?utm_source=naver&utm_medium=search,2022.08.30.,"['태백', '반려견', '놀이터', '보름간', '마리', '찾아', '절반의', '성공']"
"""이용하고 싶어도 이용할 수가 없네요""…반려견 놀이터 '같이가개' 직장인 애...",http://www.domin.co.kr/news/articleView.html?idxno=1393559,2022.08.22.,"['이용하고', '싶어도', '이용할', '수가', '없네요', '반려견', '놀이터', '같이가개', '직장인', '애']"
"청주시, 문암생태공원 반려견 놀이터 신청제 전환",https://www.news1.kr/articles/4767466,2022.08.09.,"['청주시', '문암생태공원', '반려견', '놀이터', '신청제', '전환']"
"청주시, 반려견 놀이터 ‘예약제’에서 ‘신청제’로 변경 운영",http://www.breaknews.com/914835,2022.08.09.,"['청주시', '반려견', '놀이터', '예약제', '에서', '신청제', '로', '변경', '운영']"
"이범석 시장, 반려견 놀이터 방문 시설 점검",http://www.dynews.co.kr/news/articleView.html?idxno=668080,2022.08.02.,"['이범석', '시장', '반려견', '놀이터', '방문', '시설', '점검']"
"견공의, 견공에 의한, 견공을 위한 놀이 공간···인천대공원 반려견놀이터",http://www.aptn.co.kr/news/articleView.html?idxno=100781,2022.08.02.,"['견공의', '견공에', '의한', '견공을', '위한', '놀이', '공간', '인천대공원', '반려견놀이터']"
안산 2호 반려견 놀이터 원포공원에 조성… 2만7천여 애견인 '기대',http://www.kyeongin.com/main/view.php?key=20220719010003290,2022.07.19.,"['안산', '호', '반려견', '놀이터', '원포공원에', '조성', '만', '천여', '애견인', '기대']"
반려견 동반 여행 ②인천대공원 반려견놀이터,https://www.ilyosisa.co.kr/news/article.html?no=235572,2022.07.11.,"['반려견', '동반', '여행', '인천대공원', '반려견놀이터']"
"[주말, 여행] 목줄 풀고 달릴 준비 완료…인천대공원 반려견 놀이터로 가자",https://www.ajunews.com/view/20220708101320985,2022.07.09.,"['주말', '여행', '목줄', '풀고', '달릴', '준비', '완료', '인천대공원', '반려견', '놀이터로', '가자']"
"놀이터 임대하고, AI 건강 진단…통신3社 '펫테크'로 진격",https://www.newsway.co.kr/news/view?tp=1&ud=2022100611394892630,2022.10.06.,"['놀이터', '임대하고', 'AI', '건강', '진단', '통신', '펫테크', '로', '진격']"
"하남시, 반려견 놀이터 찬반 뜨겁다",http://www.kyeongin.com/main/view.php?key=20220628010005079,2022.06.29.,"['하남시', '반려견', '놀이터', '찬반', '뜨겁다']"
"전주시, 반려인·반려견 놀이터 ‘같이가개’ 개장",http://www.betanews.net:8080/article/1343054.html,2022.06.28.,"['전주시', '반려인', '반려견', '놀이터', '같이가개', '개장']"
반려동물과 함께여서 더 즐거운 가을 ①전국 반려동물 놀이터,http://woman.chosun.com/news/articleView.html?idxno=102911,2022.09.30.,"['반려동물과', '함께여서', '더', '즐거운', '가을', '전국', '반려동물', '놀이터']"
"경기도, 반려견 놀이터 시설 지원…""반려 문화도 개선""",https://news.sbs.co.kr/news/endPage.do?news_id=N1006802779&plink=ORI&cooper=NAVER,2022.06.28.,"['경기도', '반려견', '놀이터', '시설', '지원', '반려', '문화도', '개선']"
[주말 ON- 여기 어때] 양산의 열린 휴식처 ‘황산공원’,http://www.knnews.co.kr/news/articleView.php?idxno=1389300,,"['주말', 'ON', '여기', '어때', '양산의', '열린', '휴식처', '황산공원']"
진흙마사지·숲 트레킹… 반려견과 마음 나누는 ‘힐링 캠핑’,http://www.munhwa.com/news/view.html?no=2022100501031830341002,,"['진흙마사지', '숲', '트레킹', '반려견과', '마음', '나누는', '힐링', '캠핑']"
"반려견 목줄 미착용 민원, 반려견 놀이터가 해결할까",http://www.newsis.com/view/?id=NISX20220614_0001907179&cID=10804&pID=14000,2022.10.05.,"['반려견', '목줄', '미착용', '민원', '반려견', '놀이터가', '해결할까']"
"춘천 반려견 놀이터, 도심 찾아 시민 접근성 높인다",https://www.mstoday.co.kr/news/articleView.html?idxno=78843,2022.06.14.,"['춘천', '반려견', '놀이터', '도심', '찾아', '시민', '접근성', '높인다']"
"하남시, 반려견 안전사고 예방…동물보호법 위반 집중 단속",https://www.gukjenews.com/news/articleView.html?idxno=2558941,2022.06.11.,"['하남시', '반려견', '안전사고', '예방', '동물보호법', '위반', '집중', '단속']"
"하남시, 반려견 안전사고 예방..동물보호법 위반 집중 단속",http://www.enewstoday.co.kr/news/articleView.html?idxno=1601775,2022.09.27.,"['하남시', '반려견', '안전사고', '예방', '동물보호법', '위반', '집중', '단속']"
"춘천시, 찾아가는 반려견 이동 놀이터 운영",https://www.ekn.kr/web/view.php?key=20220609010001142,2022.09.26.,"['춘천시', '찾아가는', '반려견', '이동', '놀이터', '운영']"
"춘천시, 찾아가는 반려견 이동 놀이터 운영!",https://www.gukjenews.com/news/articleView.html?idxno=2484136,2022.06.09.,"['춘천시', '찾아가는', '반려견', '이동', '놀이터', '운영']"
"롯데워터파크, 반려견 함께하는 '댕댕 워터파크' 오픈",http://www.gimhaenews.co.kr/news/articleView.html?idxno=46521,2022.06.08.,"['롯데워터파크', '반려견', '함께하는', '댕댕', '워터파크', '오픈']"
반려견과 함께하는 마라톤 대회 ‘댕댕런2022’… 24일 인천 송도서 개최,http://www.newscj.com/article/20220923580337,2022.09.21.,"['반려견과', '함께하는', '마라톤', '대회', '댕댕런', '일', '인천', '송도서', '개최']"
"성유리, 집 테라스가 운동장이야..반려견 놀이터 됐네",http://biz.heraldcorp.com/view.php?ud=202208061427553334385_1,2022.08.06.,"['성유리', '집', '테라스가', '운동장이야', '반려견', '놀이터', '됐네']"
