"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총인원"
"3000000","300000001120060001","20061115","","03","폐업","0002","폐업","20071207","","","","02-741-8685","96","","서울특별시 종로구 종로5가 27-1   번지 지상1층 ","","","원창약국","20071210111121","I","2018-08-31 23:59:59.0","","","","동물약국","","","000",""
"3190000","319000001120220002","20220422","","01","영업/정상","0000","정상","","","","","","","","서울특별시 동작구 흑석동 336 흑석한강푸르지오","서울특별시 동작구 흑석한강로 27 A동 B106호 (흑석동 흑석한강푸르지오)","06981","우리온누리약국","20220422145523","I","2021-12-03 22:04:00.0","","196874.591319262","444555.900566914","","","","",""
"3110000","311000001120220004","20220422","","01","영업/정상","0000","정상","","","","","","","","서울특별시 은평구 신사동 19-162 명남더블레스 지하3층 303호","서울특별시 은평구 가좌로 330 명남더블레스 지하3층 303호 (신사동)","03437","웃음짓는약국","20220422162213","I","2021-12-03 22:04:00.0","","191881.468521419","454952.0053163","","","","",""
"3240000","324000001120220009","20220421","","01","영업/정상","0000","정상","","","","","","","","서울특별시 강동구 천호동 453-14 세우빌딩","서울특별시 강동구 천호대로 1037 세우빌딩 1층 2호 (천호동)","05335","이화약국","20220421090608","I","2021-12-03 22:03:00.0","","211184.908454545","448405.548512088","","","","",""
"3140000","314000001120220005","20220516","","01","영업/정상","0000","정상","","","","","0226927573","","","서울특별시 양천구 신월동 427-10","서울특별시 양천구 월정로 57 1층 (신월동)","07929","한약국","20220516130437","I","2021-12-04 23:08:00.0","","185911.857581422","446940.87715292","","","","",""
"3080000","308000001120220007","20220516","","01","영업/정상","0000","정상","","","","","02-907-6200","","","서울특별시 강북구 수유동 231-1 광산빌딩 1층","서울특별시 강북구 노해로 87 광산빌딩 1층 (수유동)","01048","새봄약국","20220516171803","I","2021-12-04 23:08:00.0","","201897.940868829","460144.594236497","","","","",""
"3180000","318000001120190001","20190108","","01","영업/정상","0000","정상","","","","","02-3775-1333","0","","서울특별시 영등포구 여의도동 41-2","서울특별시 영등포구 여의대방로 417 대교상가 1층 110호 (여의도동)","07340","삼남매약국","20220516104721","U","2021-12-04 23:08:00.0","","194124.497455922","446541.624341878","","","","",""
"3150000","315000001120220012","20220421","","01","영업/정상","0000","정상","","","","","","","","서울특별시 강서구 내발산동 701-1","서울특별시 강서구 강서로 299 1층 (내발산동)","07639","미즈정문약국","20220421114515","I","2021-12-03 22:03:00.0","","185437.626964196","450042.953947504","","","","",""
"3200000","320000001120220002","20220420","","01","영업/정상","0000","정상","","","","","","","","서울특별시 관악구 신림동 518-2","서울특별시 관악구 신사로 94 1층 (신림동)","08701","기경한약국","20220420141144","I","2021-12-03 22:02:00.0","","192250.237797802","442720.885235603","","","","",""
"3060000","306000001120220004","20220420","","01","영업/정상","0000","정상","","","","","02-434-7184","","","서울특별시 중랑구 면목동 573-12 팜1약국","서울특별시 중랑구 사가정로49길 49 팜1약국 (면목동)","02221","클로버팜약국","20220420103328","I","2021-12-03 22:02:00.0","","207589.328056574","453437.382517446","","","","",""
"3210000","321000001120220003","20220419","","01","영업/정상","0000","정상","","","","","","","","서울특별시 서초구 서초동 1335","서울특별시 서초구 효령로 403 상가동 204호 (서초동)","06630","서초자이약국","20220419101222","I","2021-12-03 22:01:00.0","","202245.377899369","442987.986999742","","","","",""
"3230000","323000001120220009","20220419","","01","영업/정상","0000","정상","","","","","02-2201-5566","","","서울특별시 송파구 거여동 202-180 송파시그니처롯데캐슬","서울특별시 송파구 거마로 56 2층 9호 (거여동 송파시그니처롯데캐슬)","05767","송파시그니처약국","20220419104730","I","2021-12-03 22:01:00.0","","213149.522764117","443705.473072412","","","","",""
"3230000","323000001120220010","20220419","","01","영업/정상","0000","정상","","","","","","","","서울특별시 송파구 가락동 77-4 송파KCC웰츠타워","서울특별시 송파구 송파대로28길 43 송파KCC웰츠타워 101동 2호 (가락동)","05717","팜플러스약국","20220419140559","I","2021-12-03 22:01:00.0","","210732.145627948","443731.087627262","","","","",""
"3150000","315000001120220011","20220418","","01","영업/정상","0000","정상","","","","","0226616123","","","서울특별시 강서구 내발산동 668","서울특별시 강서구 강서로 323 1층 (내발산동)","07632","코리아약국","20220418143624","I","2021-12-03 22:00:00.0","","185487.641769266","450280.85856253","","","","",""
"3150000","315000001120220010","20220418","","01","영업/정상","0000","정상","","","","","","","","서울특별시 강서구 마곡동 798-17","서울특별시 강서구 마곡중앙1로 10 1층 117호 (마곡동)","07807","아란약국","20220418104419","I","2021-12-03 22:00:00.0","","","","","","","",""
"3210000","321000001120220002","20220415","","01","영업/정상","0000","정상","","","","","02-595-4008","","","서울특별시 서초구 서초동 1316-29 타임빌딩","서울특별시 서초구 서초대로73길 9 타임빌딩 1층 (서초동)","06616","휴베이스봄약국","20220415090343","I","2021-12-03 23:07:00.0","","202161.370697622","444011.647775501","","","","",""
"3020000","302000001120220002","20220415","","01","영업/정상","0000","정상","","","","","02-6953-8785","","","서울특별시 용산구 한강로3가 98 2층 108호","서울특별시 용산구 서빙고로 17 용산센트럴파크해링턴스퀘어 상가동 2층 108호 (한강로3가)","04387","해피약국","20220415092937","I","2021-12-03 23:07:00.0","","","","","","","",""
"3220000","322000001120220009","20220415","","01","영업/정상","0000","정상","","","","","02-543-2007","","","서울특별시 강남구 논현동 5-1","서울특별시 강남구 도산대로 134 지하2층 (논현동)","06039","포레약국","20220415091305","I","2021-12-03 23:07:00.0","","202000.725039006","446121.933470571","","","","",""
