"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총인원"
"3230000","323000001320220006","20220419","","01","영업/정상","0000","정상","","","","","","","","서울특별시 송파구 신천동 *-**","서울특별시 송파구 송파대로 *** **층 (신천동)","05510","쿠팡주식회사","20220419101304","I","2021-12-03 22:01:00.0","","208688.155079917","445954.176613992","","","","",""
"3240000","324000001320220006","20220523","","01","영업/정상","0000","정상","","","","","0234008000","","","서울특별시 강동구 천호동 ** 천호복합 상업시설","서울특별시 강동구 양재대로 **** 천호복합 상업시설 (천호동)","05314","홈플러스(주) 강동점","20220523143613","I","2021-12-04 22:05:00.0","","212501.369116329","449282.31038379","","","","",""
"3040000","304000001320220004","20220523","","01","영업/정상","0000","정상","","","","","02-2039-2543","758.33","","서울특별시 광진구 광장동 ***-** *층","서울특별시 광진구 아차산로 *** 은석 *층 (광장동)","04974","(주)이마트에브리데이 광장점","20220523144955","I","2021-12-04 22:05:00.0","","208558.933963663","448800.055402101","","","","",""
"3050000","305000001320220002","20220523","","01","영업/정상","0000","정상","","","","","02-2246-7292","","","서울특별시 동대문구 답십리동 ***-**","서울특별시 동대문구 고미술로 ** 이마트에브리데이 (답십리동)","02604","(주)이마트에브리데이 답십리점","20220523201944","I","2021-12-04 22:05:00.0","","204638.486386691","451699.765836365","","","","",""
"3140000","314000001320220001","20220418","","01","영업/정상","0000","정상","","","","","02-2135-2328","","","서울특별시 양천구 목동 ***-*","서울특별시 양천구 목동중앙로 ** 지층 ***호 (목동)","07961","전진바이오팜주식회사 폴리파크 목동지점","20220419094940","I","2021-12-03 22:01:00.0","","188554.106676171","448293.184846549","","","","",""
"3240000","324000001320220007","20220523","","01","영업/정상","0000","정상","","","","","0269531661","1401.66","","서울특별시 강동구 강일동 **-* 아이메디컬","서울특별시 강동구 아리수로**나길 ** 아이메디컬 B***호 (강일동)","05415","(주)이마트에브리데이 고덕강일점","20220523143941","I","2021-12-04 22:05:00.0","","215303.913311463","452189.755118282","","","","",""
"3230000","323000001320220012","20220524","","01","영업/정상","0000","정상","","","","","02-423-3591","","","서울특별시 송파구 풍납동 ***-* 현대아파트 상가건물","서울특별시 송파구 올림픽로 *** *층 ***호 (풍납동 현대아파트)","05530","미르텍","20220524110043","I","2021-12-04 22:06:00.0","","210440.282511104","447466.879214999","","","","",""
"3230000","323000001320220013","20220524","","01","영업/정상","0000","정상","","","","","","","","서울특별시 송파구 거여동 *** 현대아파트","서울특별시 송파구 오금로**길 ** *동 ****호 (거여동 현대아파트)","05771","좋은친구들","20220524163536","I","2021-12-04 22:06:00.0","","212403.643733203","443417.837902915","","","","",""
"3180000","318000001320220001","20220415","","01","영업/정상","0000","정상","","","","","","","","서울특별시 영등포구 당산동*가 ***","서울특별시 영등포구 당산로 ** *층 (당산동*가)","07265","전진바이오팜주식회사 폴리파크 당산지점","20220415163720","I","2021-12-03 23:07:00.0","","190767.410925052","446788.391708022","","","","",""
"3050000","305000001320220003","20220524","","01","영업/정상","0000","정상","","","","","02-2039-0274","","","서울특별시 동대문구 이문동 ***-** 이문동 웰츠타워","서울특별시 동대문구 이문로 *** 지하*층 (이문동 이문동 웰츠타워)","02418","(주)이마트에브리데이 이문점","20220524095554","I","2021-12-04 22:06:00.0","","205396.363734301","455131.683241064","","","","",""
"3070000","307000001320220002","20220518","","01","영업/정상","0000","정상","","","","","0236720226","","","서울특별시 성북구 성북동 **-* 성북프라자","서울특별시 성북구 성북로 *** 성북프라자 (성북동)","02837","(주)이마트에브리데이 성북동점","20220524093021","U","2021-12-04 22:06:00.0","","199586.316865115","454632.316678757","","","","",""
