"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총인원"
"3230000","323000001220170001","20170501","","03","폐업","0002","폐업","20220414","","","20220414","025530304","261.2","","서울특별시 송파구 송파동 32-7","서울특별시 송파구 석촌호수로 274 (송파동 씨엠빌딩)","05623","한국엘랑코동물약품(주)","20220422153907","U","2021-12-03 22:04:00.0","","209321.573335253","445338.780035","","","","",""
"3000000","300000001220210001","20210730","","01","영업/정상","0000","정상","","","","","02-3771-2114","0","","서울특별시 종로구 신문로2가 92 LG광화문빌딩","서울특별시 종로구 새문안로 58 LG광화문빌딩 (신문로2가)","03184","주식회사 엘엑스판토스","20221014151618","U","2021-10-30 23:06:00.0","","197413.260397461","451896.027279239","","","","",""
"3210000","321000001220220001","20221017","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 서초구 양재동 290-4 백산빌딩","서울특별시 서초구 동산로19길 5 백산빌딩 3층 (양재동)","06781","주식회사 알프앤씨(ALF&C Inc.)","20221017105143","I","2021-10-30 23:09:00.0","","204106.051432322","441216.131468236","","","","",""
"3240000","324000001220210001","20211019","","03","폐업","0002","폐업","20221028","","","20221028","02-6338-2454","","","서울특별시 강동구 길동 333-5 진명빌딩 201호","서울특별시 강동구 양재대로124길 39 2층 201호 (길동 진명빌딩)","05302","한아름 메디케어","20221028173719","U","2021-10-30 21:00:00.0","","212684.984662576","448964.25418159","","","","",""
"3050000","305000001220210001","20211130","","01","영업/정상","0000","정상","","","","","02-6927-5475","0","","경기도 성남시 분당구 삼평동 422-8","서울특별시 동대문구 천호대로81길 47 1층 (장안동)","02635","주식회사 우리엔팜","20220428104132","U","2021-12-03 21:00:00.0","","205650.221435593","451351.235024459","","","","",""
"3000000","300000001220000001","20000224","","03","폐업","0002","폐업","20050704","","","","739-9302","115.5","","서울특별시 종로구 효제동 208 ","","","(주)국전약품","20050704151243","I","2018-08-31 23:59:59.0","","200299.046811578    ","452229.638206671    ","동물용의약품도매상","","","000",""
"3010000","301000001220080001","20080822","","03","폐업","0002","폐업","20101004","","","","317-2710","0","","서울특별시 중구 회현동3가 1-11 화이자타워 4층 ","","","한국화이자동물약품주식회사","20101004165510","I","2018-08-31 23:59:59.0","","198531.297994629    ","450909.106572106    ","동물용의약품도매상","","","000","0"
"3020000","302000001219990001","19990521","","03","폐업","0002","폐업","20080312","","","","749-5024","36.52","","서울특별시 용산구 한강로2가 316-1 이원빌딩 603호 ","","","우진양행","20080312143643","I","2018-08-31 23:59:59.0","","197044.028735106    ","447505.296489265    ","동물용의약품도매상","","","000",""
"3020000","302000001220000001","20001211","","03","폐업","0002","폐업","20061222","","","","794-1657","226","","서울특별시 용산구 한남동 64-1 ","서울특별시 용산구 한남대로20길 13 (한남동)","04419","인터베트코리아(주)","20111030132938","I","2018-08-31 23:59:59.0","","200597.940803088    ","448069.782121815    ","동물용의약품도매상","","","L00",""
"3020000","302000001220050001","20050803","","03","폐업","0002","폐업","20100712","","","","02-796-3642","124.4","","서울특별시 용산구 한강로3가 40-604 B동 2층 ","","","케어사이드코리아","20100712112452","I","2018-08-31 23:59:59.0","","196715.727830381    ","447010.511469994    ","동물용의약품도매상","","","000",""
