"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총인원"
"3100000","310000005020220008","20220708","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 노원구 상계동 **** 불암현대아파트","서울특별시 노원구 덕릉로***길 ** ***동 ***호 (상계동 불암현대아파트)","01646","pet357모3834","20220708152024","I","2021-12-06 23:00:00.0","","207131.576339305","462829.18165682","","","","",""
"3100000","310000004520120001","20120203","","03","폐업","0002","폐업","20220708","","","","02-937-7770","","","서울특별시 노원구 상계동 ***-**","서울특별시 노원구 한글비석로**길 ** (상계동)","","에이미펫","20220708155637","U","2021-12-06 23:00:00.0","","205817.972062411","462079.055763534","","","","",""
"3180000","318000003720190017","20190903","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 영등포구 신길동 **-**","서울특별시 영등포구 여의대방로**나길 *-* *층 (신길동)","07357","미뇽캣","20220713110454","U","2021-12-06 23:05:00.0","","192915.570773936","445525.269195905","","","","",""
"3110000","311000004920220010","20220714","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 은평구 응암동 ***-**","서울특별시 은평구 가좌로*길 **-*(응암동)","03480","챠밍도그","20220714170441","I","2021-12-06 23:06:00.0","","192744.472749473","453753.444986943","","","","",""
"3110000","311000005020220016","20220714","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 은평구 갈현동 ***-**","서울특별시 은평구 서오릉로**길 **-* 나동 ***호 (갈현동)","03326","pet138어4001","20220714171151","I","2021-12-06 23:06:00.0","","192106.071010241","457231.531875496","","","","",""
"3110000","311000005020220015","20220714","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 은평구 갈현동 ***-** 디자인하우스","서울특별시 은평구 통일로**길 **-** ***호 (갈현동 디자인하우스)","03329","pet30라9617","20220714170856","I","2021-12-06 23:06:00.0","","192627.756969304","457826.190415799","","","","",""
"3100000","310000004920220006","20220718","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 노원구 중계동 *** 양지대림*차아파트","서울특별시 노원구 덕릉로**길 ** 상가동 ***호 (중계동 양지대림*차아파트)","01706","위즈펫살롱","20220718172822","I","2021-12-06 22:00:00.0","","206311.616711385","461230.591608315","","","","",""
"3100000","310000004920220007","20220719","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 노원구 상계동 ***-*","서울특별시 노원구 한글비석로**가길 *(상계동)","01680","꽃개미용실","20220719171544","I","2021-12-06 22:01:00.0","","205961.623560567","462188.674350968","","","","",""
"3160000","316000004920220010","20220720","","01","영업/정상","0000","정상","","","","","070-4799-2020","0","","서울특별시 구로구 신도림동 ***-* 신도림에스케이뷰 ***동 ***호","서울특별시 구로구 경인로 *** ***동 *층 ***호 (신도림동 신도림에스케이뷰)","08209","샤워앤독","20220720132247","I","2021-12-06 22:02:00.0","","189894.636867358","444982.548165651","","","","",""
"3110000","311000005020220017","20220720","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 은평구 증산동 ***-** 두성아파트","서울특별시 은평구 증산서길 ** ***호 (증산동 두성아파트)","03500","pet397조1853","20220720155148","I","2021-12-06 22:02:00.0","","191649.758338653","453411.614109429","","","","",""
"3110000","311000004920220011","20220802","","01","영업/정상","0000","정상","","","","","02-352-9036","0","","서울특별시 은평구 녹번동 ***-**","서울특별시 은평구 진흥로**가길 *(녹번동)","03377","친절한애견미용실","20220802104851","I","2021-12-08 00:04:00.0","","193476.837362666","456209.726016456","","","","",""
"3100000","310000005020210015","20211026","","03","폐업","0002","폐업","20220802","","","","","0","","서울특별시 노원구 월계동 ***-* 금혁빌딩 ***호","서울특별시 노원구 광운로 ** 금혁빌딩 ***호 (월계동)","01898","최유리 반려동물 이동서비스","20220802155005","U","2021-12-08 00:04:00.0","","205015.987709197","457415.463548643","","","","",""
"3110000","311000005020220018","20220804","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 은평구 응암동 ***-** 응암동다세대주택 ***호","서울특별시 은평구 은평로*길 *-* ***호 (응암동 응암동다세대주택)","03454","pet11나0989","20220804090102","I","2021-12-08 00:06:00.0","","192804.750111173","455228.499018659","","","","",""
"3100000","310000004920220008","20220810","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 노원구 상계동 **-**","서울특별시 노원구 덕릉로***길 ** *층 (상계동)","01643","안나네","20220810144847","I","2021-12-07 23:02:00.0","","207256.793125039","463261.864714442","","","","",""
"3100000","310000004820220001","20220810","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 노원구 상계동 **-**","서울특별시 노원구 덕릉로***길 ** *층 (상계동)","01643","안나네","20220810143800","I","2021-12-07 23:02:00.0","","207256.793125039","463261.864714442","","","","",""
"3160000","316000005020220014","20220823","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 구로구 구로동 ***-*** 나래스톤빌 ***호","서울특별시 구로구 구로중앙로**길 **-** ***호 (구로동 나래스톤빌)","08306","pet 387가8964","20220823111314","I","2021-12-07 22:05:00.0","","190069.638218378","443445.941320359","","","","",""
"3160000","316000004920180029","20180919","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 구로구 고척동 ***-***","서울특별시 구로구 고척로**길 **(고척동)","08246","개어드레서","20220824103146","U","2021-12-07 22:06:00.0","","186544.342682311","444536.309646569","","","","",""
"3160000","316000004520140001","20140217","","03","폐업","0002","폐업","20220825","","","","031-485-2800","0","","서울특별시 구로구 신도림동 *** 홈플러스 신도림점 지하*층","서울특별시 구로구 경인로 *** (신도림동 홈플러스 신도림점 지하*층)","08208","(주)펫뱅크(홈플러스 신도림점)","20220825093340","U","2021-12-07 22:07:00.0","","190005.132500398","445250.538868558","","","","",""
"3100000","310000005020220009","20220826","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 노원구 중계동 ***-* 현대아파트","서울특별시 노원구 한글비석로**길 **(중계동 현대아파트)","01700","pet322우8590","20220826105921","I","2021-12-07 22:08:00.0","","206459.913628787","461503.62143089","","","","",""
"3100000","310000004920220009","20220829","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 노원구 상계동 ***-* 미도아파트","서울특별시 노원구 덕릉로 ***-** 상가동 *층 ***호 (상계동 미도아파트)","01769","댄디하개","20220829105511","I","2021-12-07 21:01:00.0","","205309.755822239","460429.879161878","","","","",""
"3100000","310000004520210006","20210414","","03","폐업","0002","폐업","20220830","","","","","0","","서울특별시 노원구 상계동 ***-** *층","서울특별시 노원구 상계로*나길 ** *층 (상계동)","01685","애완동물 편의점(애니멀쌤)","20220830132619","U","2021-12-09 00:01:00.0","","205832.130010561","462073.034137341","","","","",""
"3110000","311000004920220012","20220902","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 은평구 대조동 ***-**","서울특별시 은평구 통일로**길 * *층 (대조동)","03385","만점애견미용","20220902090725","I","2021-12-09 00:04:00.0","","193169.300127196","457063.90355201","","","","",""
"3030000","303000003720220003","20220418","","04","취소/말소/만료/정지/중지","0004","말소","20220526","","","","","0","","서울특별시 성동구 송정동 **-***","서울특별시 성동구 광나루로**길 **-* *층 (송정동)","04801","알라꿀 펫살롱","20220418100525","I","2021-12-04 22:07:00.0","","205799.095334708","449713.587555811","","","","",""
"3160000","316000003720220010","20220415","","04","취소/말소/만료/정지/중지","0004","말소","20220526","","","","","0","","서울특별시 구로구 오류동 *-** 락스테이 ****호","서울특별시 구로구 고척로*길 ** ****호 (오류동 락스테이)","08254","pet 128가6690","20220415170720","I","2021-12-04 22:07:00.0","","185770.326758","443658.023352255","","","","",""
