"순번","ID","도시계획코드","분류명","조서ID","고시ID","라벨명","고시일자","X좌표","Y좌표"
"6157","중심지_52","ZON540","중심지"," "," ","신대방지구중심(서남권)"," ","",""
"6158","중심지_53","ZON510","중심지"," "," ","영등포여의도도심(서남권)"," ","",""
"6159","중심지_58","ZON540","중심지"," "," ","신풍지구중심(서남권)"," ","",""
"6160","중심지_59","ZON540","중심지"," "," ","오류지구중심(서남권)"," ","",""
"6237","중심지_62","ZON540","중심지"," "," ","화곡지구중심(서남권)"," ","",""
"6238","중심지_63","ZON530","중심지"," "," ","목동지역중심(서남권)"," ","",""
"6239","중심지_64","ZON520","중심지"," "," ","마곡광역중심(서남권)"," ","",""
"6240","중심지_07","ZON540","중심지"," "," ","개포지구중심(동남권)"," ","",""
"6318","중심지_10","ZON530","중심지"," "," ","천호길동지역중심(동남권)"," ","",""
"6319","중심지_12","ZON540","중심지"," "," ","암사지구중심(동남권)"," ","",""
"6320","중심지_57","ZON540","중심지"," "," ","당산지구중심(서남권)"," ","",""
"6401","중심지_51","ZON540","중심지"," "," ","중곡지구중심(동북권)"," ","",""
"6402","중심지_67","ZON540","중심지"," "," ","공항지구중심(서남권)"," ","",""
"6403","중심지_74","ZON540","중심지"," "," ","상도지구중심(서남권)"," ","",""
"6317","중심지_08","ZON540","중심지"," "," ","반포지구중심(동남권)"," ","",""
"6404","중심지_17","ZON540","중심지"," "," ","석관지구중심(동북권)"," ","",""
"6405","중심지_26","ZON540","중심지"," "," ","수락지구중심(동북권)"," ","",""
"6406","중심지_39","ZON530","중심지"," "," ","마포공덕지역중심(서북권)"," ","",""
"6407","중심지_61","ZON540","중심지"," "," ","구로지구중심(서남권)"," ","",""
"6408","중심지_02","ZON540","중심지"," "," ","가락지구중심(동남권)"," ","",""
"6409","중심지_16","ZON540","중심지"," "," ","종암지구중심(동북권)"," ","",""
"6410","중심지_34","ZON520","중심지"," "," ","청량리왕십리광역중심(동북권)"," ","",""
"6411","중심지_35","ZON510","중심지"," "," ","한양도성도심(도심권)"," ","",""
"6412","중심지_37","ZON520","중심지"," "," ","용산광역중심(도심권)"," ","",""
"6413","중심지_47","ZON540","중심지"," "," ","신사지구중심(서북권)"," ","",""
"6414","중심지_77","ZON540","중심지"," "," ","노량진지구중심(서남권)"," ","",""
"6415","중심지_68","ZON540","중심지"," "," ","신정네거리지구중심(서남권)"," ","",""
"6416","중심지_48","ZON520","중심지"," "," ","상암수색광역중심(서북권)"," ","",""
"6417","중심지_56","ZON540","중심지"," "," ","시흥지구중심(서남권)"," ","",""
"6418","중심지_04","ZON540","중심지"," "," ","오금지구중심(동남권)"," ","",""
"6419","중심지_05","ZON540","중심지"," "," ","도곡지구중심(동남권)"," ","",""
"6420","중심지_40","ZON530","중심지"," "," ","연신내불광지역중심(서북권)"," ","",""
"6421","중심지_73","ZON540","중심지"," "," ","미림지구중심(서남권)"," ","",""
"6422","중심지_21","ZON540","중심지"," "," ","수유지구중심(동북권)"," ","",""
"6423","중심지_09","ZON510","중심지"," "," ","강남도심(동남권)"," ","",""
