객체id,id,비오톱유형,면적,유형분류,자연성등급,서식지기능,비오톱면적,출현빈도,비오톱위치,출현여부,평가a,평가b,개별평가,평가등급,유형평가
547248,24589,I1,2239.94643,2,3,3,3,3,3,1,3,3,3,3등급,3등급
547247,24586,I1,5260.07484,2,3,3,3,2,3,1,3,2,2,2등급,3등급
547246,24585,I1,3589.50058,2,3,3,3,3,3,1,3,3,3,3등급,3등급
547245,24584,I1,1290.17487,2,3,3,3,2,3,1,3,2,2,2등급,3등급
547244,24581,I1,2983.81295,2,3,3,3,3,3,1,3,3,3,3등급,3등급
547243,24580,I1,38071.39731,2,3,3,3,2,2,1,3,2,2,2등급,3등급
547242,24579,I1,794.75126,2,3,3,3,2,3,1,3,2,2,2등급,3등급
547241,24578,I1,2525.0439,2,3,3,3,2,3,1,3,2,2,2등급,3등급
547240,23769,H7,3427.36016,2,2,2,3,3,3,1,2,3,2,2등급,1등급
547239,23767,H7,2477.43847,2,2,2,3,3,1,3,2,2,2,2등급,1등급
547238,23766,H7,4868.98838,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547237,23764,H7,8223.36653,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547236,23763,H7,1573.93808,2,2,2,3,3,1,1,2,2,2,2등급,1등급
547235,23761,H7,1969.57715,2,2,3,3,3,2,1,2,2,2,2등급,1등급
547234,23860,H7,2202.42525,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547233,23858,H7,824.00317,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547232,23857,H7,453.23898,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547231,23855,H7,1477.08085,2,2,2,3,3,1,1,2,2,2,2등급,1등급
547230,23853,H7,1504.38887,2,2,3,3,3,1,1,2,2,2,2등급,1등급
547229,23851,H7,424.59421,2,2,3,3,3,3,1,2,3,2,2등급,1등급
547228,23850,H7,1625.52194,2,2,2,3,3,3,1,2,3,2,2등급,1등급
547227,23848,H7,629.51156,2,2,3,3,3,2,1,2,2,2,2등급,1등급
547226,23846,H7,496.75618,2,2,3,3,3,1,1,2,2,2,2등급,1등급
