동,품종수,소유자수,등록수,합계
길음동,67,1621,1.24,2005
돈암동,60,1586,1.25,1978
석관동,59,1247,1.26,1573
성북동,80,746,1.42,1062
장위동,75,2304,1.35,3106
정릉동,87,3102,1.28,3970
종암동,64,1404,1.25,1748
상월곡동,46,404,1.25,507
하월곡동,67,1504,1.33,2005
동선동1가,21,49,1.16,57
동선동2가,28,79,1.35,107
동선동3가,31,105,1.3,136
동선동4가,32,112,1.29,145
동선동5가,20,75,1.21,91
보문동1가,15,73,1.21,88
보문동2가,27,102,1.25,127
보문동3가,26,120,1.24,149
보문동4가,12,35,1.34,47
보문동5가,25,75,1.33,100
보문동6가,39,231,1.3,301
보문동7가,19,24,1.42,34
삼선동1가,37,228,1.3,296
삼선동2가,37,255,1.29,330
삼선동3가,31,184,1.3,240
삼선동4가,23,90,1.27,114
삼선동5가,34,160,1.28,205
성북동1가,31,100,1.36,136
안암동1가,33,136,1.19,162
안암동2가,21,94,1.34,126
안암동3가,38,187,1.35,253
안암동4가,18,45,1.13,51
안암동5가,25,94,1.26,118
동소문동1가,17,51,1.35,69
동소문동2가,17,54,1.37,74
동소문동3가,6,6,1.17,7
동소문동4가,26,89,1.26,112
동소문동5가,16,37,1.19,44
동소문동6가,25,61,1.38,84
동소문동7가,22,96,1.25,120
