읍면동(법정동),등록품종수,동물소유자수,동물소유자당동물등록수
다동,26,104,1.47
정동,21,38,1.16
초동,4,5,1
남창동,11,26,1.19
남학동,1,1,1
무교동,2,1,2
무학동,11,14,1.36
묵정동,25,45,1.49
방산동,2,2,1.5
북창동,2,2,1.5
산림동,5,10,1.7
소공동,2,1,2
수표동,1,1,1
수하동,1,1,1
순화동,25,47,1.4
신당동,96,3493,1.32
쌍림동,11,18,1.28
예관동,3,4,1.25
예장동,19,47,1.23
오장동,10,11,1.45
입정동,1,1,1
주교동,3,3,1
주자동,2,2,1
중림동,46,230,1.18
황학동,64,650,1.37
흥인동,24,110,1.3
명동2가,6,7,1.29
저동1가,2,3,1
저동2가,6,6,1
필동1가,9,7,1.43
필동2가,20,41,1.27
필동3가,29,56,1.46
서소문동,1,1,1
광희동1가,11,18,1.39
광희동2가,23,46,1.3
남산동1가,10,9,3
남산동2가,20,37,1.57
남산동3가,2,1,2
만리동1가,23,49,1.18
만리동2가,27,119,1.3
봉래동1가,9,11,1.09
봉래동2가,1,1,1
을지로3가,6,6,1.33
을지로4가,3,5,1.2
을지로5가,26,27,1.74
을지로6가,7,11,1
을지로7가,4,6,1.17
의주로1가,5,6,1.17
의주로2가,5,5,1
인현동1가,5,3,1.67
인현동2가,16,26,1.38
장충동1가,26,90,1.47
장충동2가,28,142,1.34
충무로1가,4,3,2.33
충무로2가,2,2,1.5
충무로3가,9,9,1.11
충무로4가,16,45,1.2
충무로5가,16,29,1.45
태평로1가,1,1,1
태평로2가,2,2,1
회현동1가,43,137,1.47
회현동2가,31,72,1.29
회현동3가,3,1,4
남대문로5가,14,44,1.16
