"순번","ID","도시계획코드","분류명","조서ID","고시ID","라벨명","고시일자","X좌표","Y좌표"
"38662","생활서비스시설_공원_0035","ZON216","생활서비스시설_공원"," "," ","근린공원(서울숲)"," ","",""
"38663","생활서비스시설_공원_0039","ZON216","생활서비스시설_공원"," "," ","근린공원(훈련원)"," ","",""
"38664","생활서비스시설_공원_0045","ZON216","생활서비스시설_공원"," "," ","근린공원(창경)"," ","",""
"38665","생활서비스시설_공원_0047","ZON216","생활서비스시설_공원"," "," ","어린이공원(인왕)"," ","",""
"38666","생활서비스시설_공원_0048","ZON216","생활서비스시설_공원"," "," ","소공원(교남동쉼터)"," ","",""
"38667","생활서비스시설_공원_0050","ZON216","생활서비스시설_공원"," "," ","어린이공원(낙산)"," ","",""
"38668","생활서비스시설_공원_0052","ZON216","생활서비스시설_공원"," "," ","어린이공원(감나무골)"," ","",""
"38669","생활서비스시설_공원_0054","ZON216","생활서비스시설_공원"," "," ","소공원(통인동쉼터)"," ","",""
"38670","생활서비스시설_공원_0055","ZON216","생활서비스시설_공원"," "," ","소공원(신교동쉼터)"," ","",""
"38671","생활서비스시설_공원_0057","ZON216","생활서비스시설_공원"," "," ","마을마당(인사동)"," ","",""
"38672","생활서비스시설_공원_0058","ZON216","생활서비스시설_공원"," "," ","소공원(신설동쉼터)"," ","",""
"38673","생활서비스시설_공원_0060","ZON216","생활서비스시설_공원"," "," ","마을마당(동숭동)"," ","",""
"38674","생활서비스시설_공원_0061","ZON216","생활서비스시설_공원"," "," ","소공원(창신2동쉼터)"," ","",""
"38675","생활서비스시설_공원_0063","ZON216","생활서비스시설_공원"," "," ","도시자연공원(인왕산<시공원>)"," ","",""
"38676","생활서비스시설_공원_0064","ZON216","생활서비스시설_공원"," "," ","소공원(평창동쉼터)"," ","",""
"38677","생활서비스시설_공원_0066","ZON216","생활서비스시설_공원"," "," ","근린공원(내수2)"," ","",""
"38678","생활서비스시설_공원_0069","ZON216","생활서비스시설_공원"," "," ","근린공원(내수1)"," ","",""
"38679","생활서비스시설_공원_0071","ZON216","생활서비스시설_공원"," "," ","소공원(명륜3쉼터2)"," ","",""
"38680","생활서비스시설_공원_0073","ZON216","생활서비스시설_공원"," "," ","근린공원(마로니에)"," ","",""
"38681","생활서비스시설_공원_0076","ZON216","생활서비스시설_공원"," "," ","어린이공원(보신각)"," ","",""
"38682","생활서비스시설_공원_0079","ZON216","생활서비스시설_공원"," "," ","소공원(연건동쉼터)"," ","",""
"40170","생활서비스시설_공원_1443","ZON216","생활서비스시설_공원"," "," ","어린이공원(해태)"," ","",""
"40171","생활서비스시설_공원_1446","ZON216","생활서비스시설_공원"," "," ","어린이공원(원당)"," ","",""
"40172","생활서비스시설_공원_1449","ZON216","생활서비스시설_공원"," "," ","어린이공원(신화)"," ","",""
"40173","생활서비스시설_공원_1608","ZON216","생활서비스시설_공원"," "," ","근린공원(달터<시공원>)"," ","",""
"40174","생활서비스시설_공원_1613","ZON216","생활서비스시설_공원"," "," ","근린공원(늘벚)"," ","",""
"40175","생활서비스시설_공원_1614","ZON216","생활서비스시설_공원"," "," ","근린공원(선?정릉)"," ","",""
"40176","생활서비스시설_공원_1621","ZON216","생활서비스시설_공원"," "," ","어린이공원(일원느티나무)"," ","",""
"40177","생활서비스시설_공원_1624","ZON216","생활서비스시설_공원"," "," ","어린이공원(압구정목련)"," ","",""
"40178","생활서비스시설_공원_1627","ZON216","생활서비스시설_공원"," "," ","근린공원(대치)"," ","",""
"40179","생활서비스시설_공원_1630","ZON216","생활서비스시설_공원"," "," ","근린공원(개포동)"," ","",""
"40180","생활서비스시설_공원_1632","ZON216","생활서비스시설_공원"," "," ","근린공원(개포)"," ","",""
"40181","생활서비스시설_공원_1636","ZON216","생활서비스시설_공원"," "," ","어린이공원(일원비둘기)"," ","",""
"40182","생활서비스시설_공원_1639","ZON216","생활서비스시설_공원"," "," ","어린이공원(역삼은행나무)"," ","",""
"40183","생활서비스시설_공원_1644","ZON216","생활서비스시설_공원"," "," ","어린이공원(학동)"," ","",""
"40184","생활서비스시설_공원_1646","ZON216","생활서비스시설_공원"," "," ","근린공원(역삼)"," ","",""
"40185","생활서비스시설_공원_1649","ZON216","생활서비스시설_공원"," "," ","근린공원(학여울)"," ","",""
"40186","생활서비스시설_공원_1650","ZON216","생활서비스시설_공원"," "," ","마을마당(양재천)"," ","",""
"40187","생활서비스시설_공원_1653","ZON216","생활서비스시설_공원"," "," ","어린이공원(대치은행나무)"," ","",""
"40188","생활서비스시설_공원_1655","ZON216","생활서비스시설_공원"," "," ","근린공원(포이)"," ","",""
"40189","생활서비스시설_공원_1657","ZON216","생활서비스시설_공원"," "," ","근린공원(독골)"," ","",""
"40190","생활서비스시설_공원_1863","ZON216","생활서비스시설_공원"," "," ","강변공원(이촌지구)"," ","",""
"38822","생활서비스시설_공원_1042","ZON216","생활서비스시설_공원"," "," ","어린이공원(봉선화)"," ","",""
"38823","생활서비스시설_공원_1044","ZON216","생활서비스시설_공원"," "," ","어린이공원(필마)"," ","",""
"38824","생활서비스시설_공원_1045","ZON216","생활서비스시설_공원"," "," ","어린이공원(소나무)"," ","",""
"38825","생활서비스시설_공원_1047","ZON216","생활서비스시설_공원"," "," ","기타공원(화곡동 정자마당)"," ","",""
"38826","생활서비스시설_공원_1048","ZON216","생활서비스시설_공원"," "," ","기타공원(가양동 정자마당)"," ","",""
"38827","생활서비스시설_공원_1049","ZON216","생활서비스시설_공원"," "," ","기타공원(구름)"," ","",""
"38828","생활서비스시설_공원_1051","ZON216","생활서비스시설_공원"," "," ","기타공원(큰별)"," ","",""
"38829","생활서비스시설_공원_1052","ZON216","생활서비스시설_공원"," "," ","기타공원(까치)"," ","",""
"38830","생활서비스시설_공원_1053","ZON216","생활서비스시설_공원"," "," ","어린이공원(꿈나무)"," ","",""
"38831","생활서비스시설_공원_1055","ZON216","생활서비스시설_공원"," "," ","어린이공원(채송화)"," ","",""
"38832","생활서비스시설_공원_1056","ZON216","생활서비스시설_공원"," "," ","어린이공원(달빛)"," ","",""
"38833","생활서비스시설_공원_1058","ZON216","생활서비스시설_공원"," "," ","근린공원(옹기골)"," ","",""
"38834","생활서비스시설_공원_1060","ZON216","생활서비스시설_공원"," "," ","근린공원(등촌)"," ","",""
"38835","생활서비스시설_공원_1061","ZON216","생활서비스시설_공원"," "," ","어린이공원(도레미)"," ","",""
"38836","생활서비스시설_공원_1063","ZON216","생활서비스시설_공원"," "," ","어린이공원(느티)"," ","",""
"38837","생활서비스시설_공원_1064","ZON216","생활서비스시설_공원"," "," ","어린이공원(백합)"," ","",""
"38838","생활서비스시설_공원_1066","ZON216","생활서비스시설_공원"," "," ","어린이공원(화곡1주구2)"," ","",""
"38839","생활서비스시설_공원_1067","ZON216","생활서비스시설_공원"," "," ","어린이공원(한마음)"," ","",""
"38840","생활서비스시설_공원_1068","ZON216","생활서비스시설_공원"," "," ","어린이공원(등서)"," ","",""
"38841","생활서비스시설_공원_1069","ZON216","생활서비스시설_공원"," "," ","어린이공원(곰돌이)"," ","",""
"38842","생활서비스시설_공원_1071","ZON216","생활서비스시설_공원"," "," ","어린이공원(비둘기)"," ","",""
"38843","생활서비스시설_공원_1072","ZON216","생활서비스시설_공원"," "," ","어린이공원(수명)"," ","",""
"38844","생활서비스시설_공원_1074","ZON216","생활서비스시설_공원"," "," ","어린이공원(골말)"," ","",""
"38845","생활서비스시설_공원_1075","ZON216","생활서비스시설_공원"," "," ","어린이공원(나들이)"," ","",""
"38846","생활서비스시설_공원_1076","ZON216","생활서비스시설_공원"," "," ","기타공원(발산동휴식공간)"," ","",""
"38847","생활서비스시설_공원_1079","ZON216","생활서비스시설_공원"," "," ","어린이공원(무지개)"," ","",""
"38848","생활서비스시설_공원_1080","ZON216","생활서비스시설_공원"," "," ","어린이공원(연지)"," ","",""
"38849","생활서비스시설_공원_1081","ZON216","생활서비스시설_공원"," "," ","어린이공원(범바위)"," ","",""
"38850","생활서비스시설_공원_1083","ZON216","생활서비스시설_공원"," "," ","어린이공원(활주로)"," ","",""
"38851","생활서비스시설_공원_1084","ZON216","생활서비스시설_공원"," "," ","기타공원(발산역주변녹지)"," ","",""
"38852","생활서비스시설_공원_1085","ZON216","생활서비스시설_공원"," "," ","어린이공원(효심)"," ","",""
"38853","생활서비스시설_공원_1087","ZON216","생활서비스시설_공원"," "," ","어린이공원(장미)"," ","",""
"38854","생활서비스시설_공원_1088","ZON216","생활서비스시설_공원"," "," ","어린이공원(능안)"," ","",""
"38855","생활서비스시설_공원_1090","ZON216","생활서비스시설_공원"," "," ","어린이공원(호돌이)"," ","",""
"38856","생활서비스시설_공원_1092","ZON216","생활서비스시설_공원"," "," ","어린이공원(노을)"," ","",""
"38857","생활서비스시설_공원_1093","ZON216","생활서비스시설_공원"," "," ","어린이공원(염창어린이공원)"," ","",""
"38858","생활서비스시설_공원_1094","ZON216","생활서비스시설_공원"," "," ","기타공원(원당)"," ","",""
"38859","생활서비스시설_공원_1095","ZON216","생활서비스시설_공원"," "," ","근린공원(원당)"," ","",""
"38860","생활서비스시설_공원_1096","ZON216","생활서비스시설_공원"," "," ","어린이공원(솔뫼)"," ","",""
"38861","생활서비스시설_공원_1098","ZON216","생활서비스시설_공원"," "," ","어린이공원(메아리)"," ","",""
"38862","생활서비스시설_공원_1099","ZON216","생활서비스시설_공원"," "," ","어린이공원(버들)"," ","",""
"38863","생활서비스시설_공원_1001","ZON216","생활서비스시설_공원"," "," ","어린이공원(정목)"," ","",""
"38864","생활서비스시설_공원_1005","ZON216","생활서비스시설_공원"," "," ","어린이공원(꽃동산)"," ","",""
"38865","생활서비스시설_공원_1007","ZON216","생활서비스시설_공원"," "," ","어린이공원(곰달래)"," ","",""
"38866","생활서비스시설_공원_1011","ZON216","생활서비스시설_공원"," "," ","근린공원(목마)"," ","",""
"39437","생활서비스시설_공원_0787","ZON216","생활서비스시설_공원"," "," ","어린이공원(좌월)"," ","",""
"39438","생활서비스시설_공원_0788","ZON216","생활서비스시설_공원"," "," ","어린이공원(서갈현)"," ","",""
"39439","생활서비스시설_공원_0789","ZON216","생활서비스시설_공원"," "," ","어린이공원(신록)"," ","",""
"39440","생활서비스시설_공원_0791","ZON216","생활서비스시설_공원"," "," ","마을마당(신사2동)"," ","",""
"39441","생활서비스시설_공원_0792","ZON216","생활서비스시설_공원"," "," ","어린이공원(새장골)"," ","",""
"39442","생활서비스시설_공원_0793","ZON216","생활서비스시설_공원"," "," ","기타공원(다래공원)"," ","",""
"39443","생활서비스시설_공원_0795","ZON216","생활서비스시설_공원"," "," ","어린이공원(까치)"," ","",""
"39444","생활서비스시설_공원_0797","ZON216","생활서비스시설_공원"," "," ","도시자연공원(북한산(시공원))"," ","",""
"39445","생활서비스시설_공원_0799","ZON216","생활서비스시설_공원"," "," ","마을마당(창용)"," ","",""
"39446","생활서비스시설_공원_0800","ZON216","생활서비스시설_공원"," "," ","마을마당(자하문폐가압장휴식공간)"," ","",""
"39447","생활서비스시설_공원_0702","ZON216","생활서비스시설_공원"," "," ","근린공원(벽운)"," ","",""
"39448","생활서비스시설_공원_0705","ZON216","생활서비스시설_공원"," "," ","근린공원(솔밭)"," ","",""
"39449","생활서비스시설_공원_0708","ZON216","생활서비스시설_공원"," "," ","어린이공원(씨알)"," ","",""
"39450","생활서비스시설_공원_0711","ZON216","생활서비스시설_공원"," "," ","어린이공원(소곶네)"," ","",""
"39451","생활서비스시설_공원_0712","ZON216","생활서비스시설_공원"," "," ","도시자연공원(수락산<시공원>)"," ","",""
"39452","생활서비스시설_공원_0717","ZON216","생활서비스시설_공원"," "," ","근린공원(공릉동)"," ","",""
"39453","생활서비스시설_공원_0579","ZON216","생활서비스시설_공원"," "," ","어린이공원(꿈동산)"," ","",""
"39454","생활서비스시설_공원_0583","ZON216","생활서비스시설_공원"," "," ","어린이공원(신창)"," ","",""
"39455","생활서비스시설_공원_0584","ZON216","생활서비스시설_공원"," "," ","소공원(발바닥공원)"," ","",""
"39456","생활서비스시설_공원_0587","ZON216","생활서비스시설_공원"," "," ","어린이공원(장미)"," ","",""
"39457","생활서비스시설_공원_0589","ZON216","생활서비스시설_공원"," "," ","마을마당(창5동)"," ","",""
"39458","생활서비스시설_공원_0591","ZON216","생활서비스시설_공원"," "," ","근린공원(쌍문<시공원>)"," ","",""
"39459","생활서비스시설_공원_0595","ZON216","생활서비스시설_공원"," "," ","마을마당(도봉2동 마을마당)"," ","",""
"39436","생활서비스시설_공원_0785","ZON216","생활서비스시설_공원"," "," ","마을마당(불광3동마을숲)"," ","",""
"39460","생활서비스시설_공원_0599","ZON216","생활서비스시설_공원"," "," ","어린이공원(용화)"," ","",""
"39461","생활서비스시설_공원_0602","ZON216","생활서비스시설_공원"," "," ","어린이공원(중평)"," ","",""
"39462","생활서비스시설_공원_0603","ZON216","생활서비스시설_공원"," "," ","어린이공원(해바라기)"," ","",""
"39463","생활서비스시설_공원_0605","ZON216","생활서비스시설_공원"," "," ","어린이공원(소망)"," ","",""
"39464","생활서비스시설_공원_0606","ZON216","생활서비스시설_공원"," "," ","어린이공원(사랑)"," ","",""
"39465","생활서비스시설_공원_0607","ZON216","생활서비스시설_공원"," "," ","어린이공원(꿈동산)"," ","",""
"39466","생활서비스시설_공원_0609","ZON216","생활서비스시설_공원"," "," ","어린이공원(까치)"," ","",""
"39467","생활서비스시설_공원_0610","ZON216","생활서비스시설_공원"," "," ","마을마당(상계7동소공원)"," ","",""
"39646","생활서비스시설_공원_1402","ZON216","생활서비스시설_공원"," "," ","마을마당(신림6동)"," ","",""
"39647","생활서비스시설_공원_1407","ZON216","생활서비스시설_공원"," "," ","어린이공원(백설)"," ","",""
"39648","생활서비스시설_공원_1409","ZON216","생활서비스시설_공원"," "," ","근린공원((까치산)<시공원>)"," ","",""
"39649","생활서비스시설_공원_1411","ZON216","생활서비스시설_공원"," "," ","근린공원(신림)"," ","",""
"39650","생활서비스시설_공원_1412","ZON216","생활서비스시설_공원"," "," ","근린공원(장군봉<시공원>)"," ","",""
"39651","생활서비스시설_공원_1419","ZON216","생활서비스시설_공원"," "," ","어린이공원(보명)"," ","",""
"39652","생활서비스시설_공원_1423","ZON216","생활서비스시설_공원"," "," ","어린이공원(남현)"," ","",""
"39653","생활서비스시설_공원_1427","ZON216","생활서비스시설_공원"," "," ","어린이공원(예촌)"," ","",""
"39654","생활서비스시설_공원_1430","ZON216","생활서비스시설_공원"," "," ","어린이공원(선봉)"," ","",""
"39655","생활서비스시설_공원_1433","ZON216","생활서비스시설_공원"," "," ","어린이공원(새싹)"," ","",""
"39656","생활서비스시설_공원_1436","ZON216","생활서비스시설_공원"," "," ","어린이공원(문성)"," ","",""
"39657","생활서비스시설_공원_1696","ZON216","생활서비스시설_공원"," "," ","근린공원(백토)"," ","",""
"39658","생활서비스시설_공원_1698","ZON216","생활서비스시설_공원"," "," ","어린이공원(호순이)"," ","",""
"39659","생활서비스시설_공원_1699","ZON216","생활서비스시설_공원"," "," ","어린이공원(용마)"," ","",""
"39660","생활서비스시설_공원_1454","ZON216","생활서비스시설_공원"," "," ","어린이공원(점말)"," ","",""
"39661","생활서비스시설_공원_1455","ZON216","생활서비스시설_공원"," "," ","어린이공원(언구비)"," ","",""
"39662","생활서비스시설_공원_1457","ZON216","생활서비스시설_공원"," "," ","근린공원(방아다리2)"," ","",""
"39663","생활서비스시설_공원_1458","ZON216","생활서비스시설_공원"," "," ","어린이공원(식유촌)"," ","",""
"39664","생활서비스시설_공원_1460","ZON216","생활서비스시설_공원"," "," ","어린이공원(뒷벌)"," ","",""
"39665","생활서비스시설_공원_1461","ZON216","생활서비스시설_공원"," "," ","어린이공원(능안)"," ","",""
"39666","생활서비스시설_공원_1462","ZON216","생활서비스시설_공원"," "," ","어린이공원(당골)"," ","",""
"39667","생활서비스시설_공원_1463","ZON216","생활서비스시설_공원"," "," ","근린공원(잠원)"," ","",""
"39668","생활서비스시설_공원_1464","ZON216","생활서비스시설_공원"," "," ","어린이공원(신반포)"," ","",""
"39669","생활서비스시설_공원_1465","ZON216","생활서비스시설_공원"," "," ","어린이공원(반일)"," ","",""
"39670","생활서비스시설_공원_1603","ZON216","생활서비스시설_공원"," "," ","근린공원(한솔)"," ","",""
"39671","생활서비스시설_공원_1754","ZON216","생활서비스시설_공원"," "," ","어린이공원(벌말)"," ","",""
"39672","생활서비스시설_공원_1755","ZON216","생활서비스시설_공원"," "," ","근린공원(송파)"," ","",""
"39673","생활서비스시설_공원_1756","ZON216","생활서비스시설_공원"," "," ","근린공원(마천)"," ","",""
"39674","생활서비스시설_공원_1757","ZON216","생활서비스시설_공원"," "," ","어린이공원(평화)"," ","",""
"39675","생활서비스시설_공원_1758","ZON216","생활서비스시설_공원"," "," ","근린공원(두댐이)"," ","",""
"39676","생활서비스시설_공원_1759","ZON216","생활서비스시설_공원"," "," ","어린이공원(수정)"," ","",""
"39677","생활서비스시설_공원_1760","ZON216","생활서비스시설_공원"," "," ","어린이공원(초록)"," ","",""
"40191","생활서비스시설_공원_1864","ZON216","생활서비스시설_공원"," "," ","강변공원(양화지구)"," ","",""
"40192","생활서비스시설_공원_1865","ZON216","생활서비스시설_공원"," "," ","강변공원(광나루지구)"," ","",""
"40193","생활서비스시설_공원_1868","ZON216","생활서비스시설_공원"," "," ","강변공원((뚝섬지구))"," ","",""
"40194","생활서비스시설_공원_1869","ZON216","생활서비스시설_공원"," "," ","강변공원(강서지구)"," ","",""
"40195","생활서비스시설_공원_1870","ZON216","생활서비스시설_공원"," "," ","강변공원(난지지구)"," ","",""
"40196","생활서비스시설_공원_1872","ZON216","생활서비스시설_공원"," "," ","근린공원(영등포)"," ","",""
"40197","생활서비스시설_공원_1877","ZON216","생활서비스시설_공원"," "," ","기타공원(서울숲)"," ","",""
"40198","생활서비스시설_공원_1878","ZON216","생활서비스시설_공원"," "," ","근린공원((응봉))"," ","",""
"40199","생활서비스시설_공원_1879","ZON216","생활서비스시설_공원"," "," ","근린공원(보라매)"," ","",""
"40200","생활서비스시설_공원_1883","ZON216","생활서비스시설_공원"," "," ","기타공원(용산공원)"," ","",""
"40201","생활서비스시설_공원_1885","ZON216","생활서비스시설_공원"," "," ","광장(광화문열린마당)"," ","",""
"40202","생활서비스시설_공원_1887","ZON216","생활서비스시설_공원"," "," ","광장(서울광장)"," ","",""
"40203","생활서비스시설_공원_1888","ZON216","생활서비스시설_공원"," "," ","기타공원(올림픽공원)"," ","",""
"40204","생활서비스시설_공원_1849","ZON216","생활서비스시설_공원"," "," ","근린공원(샛마을)"," ","",""
"40205","생활서비스시설_공원_1850","ZON216","생활서비스시설_공원"," "," ","도시자연공원((청계산)<서울대공원>)"," ","",""
"40206","생활서비스시설_공원_1851","ZON216","생활서비스시설_공원"," "," ","근린공원(서울대공원)"," ","",""
"40207","생활서비스시설_공원_1852","ZON216","생활서비스시설_공원"," "," ","기타공원(월드컵)"," ","",""
"40208","생활서비스시설_공원_1853","ZON216","생활서비스시설_공원"," "," ","근린공원(여의도)"," ","",""
"38867","생활서비스시설_공원_1012","ZON216","생활서비스시설_공원"," "," ","근린공원(신월)"," ","",""
"38868","생활서비스시설_공원_1016","ZON216","생활서비스시설_공원"," "," ","어린이공원(금실)"," ","",""
"38869","생활서비스시설_공원_1021","ZON216","생활서비스시설_공원"," "," ","마을마당(목4동)"," ","",""
"38870","생활서비스시설_공원_1023","ZON216","생활서비스시설_공원"," "," ","근린공원(넘은들)"," ","",""
"38871","생활서비스시설_공원_1028","ZON216","생활서비스시설_공원"," "," ","근린공원(계남<시공원>)"," ","",""
"38872","생활서비스시설_공원_1029","ZON216","생활서비스시설_공원"," "," ","근린공원(빠리)"," ","",""
"38873","생활서비스시설_공원_0874","ZON216","생활서비스시설_공원"," "," ","도시자연공원((인왕산)<시공원>)"," ","",""
"38874","생활서비스시설_공원_0876","ZON216","생활서비스시설_공원"," "," ","하천(불광천)"," ","",""
"38875","생활서비스시설_공원_0883","ZON216","생활서비스시설_공원"," "," ","어린이공원(도화소)"," ","",""
"38876","생활서비스시설_공원_0884","ZON216","생활서비스시설_공원"," "," ","마을마당(대흥동)"," ","",""
"38877","생활서비스시설_공원_0903","ZON216","생활서비스시설_공원"," "," ","어린이공원(샘터)"," ","",""
"38878","생활서비스시설_공원_0905","ZON216","생활서비스시설_공원"," "," ","어린이공원(중동소)"," ","",""
"38879","생활서비스시설_공원_0906","ZON216","생활서비스시설_공원"," "," ","어린이공원(애오개)"," ","",""
"38880","생활서비스시설_공원_0909","ZON216","생활서비스시설_공원"," "," ","어린이공원(동교)"," ","",""
"38881","생활서비스시설_공원_0911","ZON216","생활서비스시설_공원"," "," ","마을마당(연화소공원)"," ","",""
"38882","생활서비스시설_공원_0912","ZON216","생활서비스시설_공원"," "," ","어린이공원(개나리)"," ","",""
"38883","생활서비스시설_공원_0914","ZON216","생활서비스시설_공원"," "," ","어린이공원(대흥)"," ","",""
"38884","생활서비스시설_공원_0915","ZON216","생활서비스시설_공원"," "," ","묘지공원(외국인<시공원>)"," ","",""
"38885","생활서비스시설_공원_0917","ZON216","생활서비스시설_공원"," "," ","어린이공원(큰길)"," ","",""
"38886","생활서비스시설_공원_0918","ZON216","생활서비스시설_공원"," "," ","어린이공원(삼개)"," ","",""
"38887","생활서비스시설_공원_0920","ZON216","생활서비스시설_공원"," "," ","어린이공원(중동)"," ","",""
"38888","생활서비스시설_공원_0921","ZON216","생활서비스시설_공원"," "," ","어린이공원(휴먼빌공원)"," ","",""
"38889","생활서비스시설_공원_0923","ZON216","생활서비스시설_공원"," "," ","마을마당(중동)"," ","",""
"38890","생활서비스시설_공원_0924","ZON216","생활서비스시설_공원"," "," ","소공원(상수동정자마당)"," ","",""
"38891","생활서비스시설_공원_0926","ZON216","생활서비스시설_공원"," "," ","어린이공원(윗잔다리)"," ","",""
"38892","생활서비스시설_공원_0927","ZON216","생활서비스시설_공원"," "," ","어린이공원(잔다리)"," ","",""
"38893","생활서비스시설_공원_0928","ZON216","생활서비스시설_공원"," "," ","어린이공원(다솜)"," ","",""
"39468","생활서비스시설_공원_0611","ZON216","생활서비스시설_공원"," "," ","어린이공원(공작)"," ","",""
"39469","생활서비스시설_공원_0613","ZON216","생활서비스시설_공원"," "," ","마을마당(공릉2(산업대앞))"," ","",""
"39470","생활서비스시설_공원_0614","ZON216","생활서비스시설_공원"," "," ","어린이공원(채송화)"," ","",""
